Sentiment,News
positive,eur928 000 q1 2010 6 may 2010 finnish textile clothing design company marimekko oyj hel mmo1v said today net profit rose eur928 000 first quarter 2010 eur13 000 corresponding period year earlier
positive,finlandbased elcoteq se privately held provider electronics manufacturing service communication company said thursday signed longterm manufacturing supply deal communication equipment company andrew corp
positive,finnish cutlery hand tool maker fiskars oyj abp hel fisa said today net profit rose eur 241 million usd 336 third quarter 2010 eur 179 million year earlier
positive,finnish department store chain stockmann oyj abp net profit rose 398 mln euro 568 mln first nine month 2007 374 mln euro 534 mln period 2006
positive,finnish lifting equipment maker konecranes oyj said july 30 2008 net profit rose 712 mln euro 1111 mln first half 2008 571 mln euro 891 mln period 2007
positive,finnish metal industry solution supplier outotec oyj net profit rose 504 mln euro 725 mln first nine month 2007 201 mln euro 289 mln period 2006
positive,finnish metal product company componenta oyj net profit rose 261 mln euro 359 mln first quarter 2007 53 mln euro 73 mln period 2006
positive,finnish office supply computer accessory dealer belttongroup plc said net profit rose 13 mln euro 17 mln 2006 113 mln euro 15 mln 2005
positive,finnish security privacy software solution developer stonesoft oyj said january 7 2008 preliminary sale stonegate product grew 59 pct yearonyear 36 mln euro 53 mln fourth quarter 2007
positive,finnish silicon wafer technology company okmetic oyj omx helsinki okm1v reported thursday 7 august operating profit eur5 3 period januaryjune 2008 eur3 3 corresponding period 2007
positive,finnish software developer done solution oyj said net profit increased 35 mln euro 46 mln 2006 23 mln euro 30 mln 2005
positive,first quarter underlying operating profit rose 41 mln eur 33 mln year earlier
positive,first nine month 2010 company net profit rose eur41m eur30m corresponding period 2009
positive,helsinki afx retail wholesale group kesko reported net sale 6594 mln eur february increase 108 pct yearonyear
positive,however net sale 2010 seen grown eur598 3 eur582 3 2009
positive,however sale returned growth apriljune 2010 ceo pekka eloholma said
positive,ragutis controlled finnish brewery reported 54percent rise beer sale 1044 million litre held 1109percent market share
positive,svyturysutenos alus controlled nordic group baltic beverage holding bbh posted 47percent growth beer sale januarymay 4622 million litre
positive,december alone member lithuanian brewer association sold total 203 million liter beer increase 19 percent sale 1992 million liter december 2004
positive,januaryseptember 2009 group net interest income increased eur 1124 mn eur 743 mn januaryseptember 2008
positive,q1 2010 bank àland net interest income increased eur 91 mn eur 97 mn
positive,sweden operating profit period review totaled eur 34 mn 308 corresponding period 2005
positive,fourth quarter 2009 orion net profit went 338 yearonyear eur33m
positive,second quarter 2010 group net profit rose eur 31 million eur 25 million apriljune 2009
positive,second quarter 2010 group net profit rose eur3 1 eur2 5 apriljune 2009
positive,third quarter net sale increased 12 yearonyear eur 1595 million 6 comparable currency rate growth
positive,third quarter net sale increased 12 yearonyear eur159 5 6 comparable currency rate growth
positive,market share widened 4851 percent 4831 percent year earlier
positive,kesko agro eesti retailer wholesaler grain agricultural warehousing machinery accessory net sale 81 million euro 2007 increase onetenth preceding year
positive,kesko car import retailing business vvauto saw sale grow 171 pct
positive,kone net sale rose 14 yearonyear first nine month 2008
positive,adp news feb 11 2009 finnish management software solution provider ixonos oyj hel xns1v said today net profit rose eur 35 million usd 45 2008 eur 31 million 2007
positive,adp news feb 12 2009 finnish solution provider affecto oyj hel afe1v said today net profit rose eur 85 million usd 11m 2008 eur 7 million 2007
positive,adp news feb 6 2009 finnish fishing tackle company rapala vmc corp hel rap1v said today net profit rose eur 192 million usd 246 2008 eur 175 million 2007
positive,adp news nov 5 2008 finnish electronic measurement product solution maker vaisala oyj omx vaias said today net profit rose eur 18 million usd 231 first nine month 2008 eur
positive,adp news oct 29 2008 finnish lifting equipment maker konecranes oyj omx kcr1v said today net profit rose eur 1166 million usd 1491 first nine month 2008 eur 736 million
positive,metso expects net sale increase 10 2008 comparable exchange rate
positive,net interest income increased 45 eur 314 mn eur 300 mn 2004
positive,net interest income eur 1522 mn eur 1010 mn 2008
positive,net interest income eur 393 mn eur 327 mn
positive,net sale vegetable oil business rose eur 106 mn eur 101 mn
positive,nokia multimedia net sale totaled eur 57 bn 45 corresponding period 2005
positive,operating income rose eur 6964 mn eur 6003 mn 2009
positive,operating profit kauppalehti group rose eur 15 mn eur 13 mn marketplace eur 13 mn eur 10 mn third quarter 2006
positive,operating profit rose eur 194 mn eur 245 mn
positive,operating profit rose 221 mln eur 199 mln
positive,operating profit rose eur 16 mn eur 11 mn corresponding period 2006
positive,operating profit rose eur 1034 mn eur 232 corresponding period 2006
positive,operating profit rose eur 135 mn eur 97 mn corresponding period 2006
positive,operating profit rose eur 267 mn eur 149 mn corresponding period 2006
positive,operating profit rose eur 278 mn eur 175 mn 2008
positive,operating profit rose eur 32 mn eur 10 mn corresponding period 2008
positive,operating profit rose eur 47 mn eur 36 mn
positive,operating profit rose eur 47 mn eur 46 mn
positive,operating profit rose eur 92 mn eur 68 mn corresponding period 2007
positive,operating profit rose eur2 4 eur1 6 year earlier
positive,operating profit surged eur21m eur106 000
positive,operating profit totaled eur 377 mn slightly eur 372 mn corresponding period 2006
positive,operating profit totaled eur 55 mn eur 07 mn
positive,operating profit eur 114 mn eur 75 mn
positive,operating profit eur 1397 mn 23 eur 1138 mn
positive,order intake grew 40 yearonyear 30 yearonyear respectively eur 576 million eur 17 billion respective januaryseptember julyseptember 2010 period
positive,order received grew 55 yearonyear eur732m
positive,orion pharma operating profit increased 425 2004
positive,passenger volume rose 84 accounting period
positive,passengerrelated revenue rose 51 eur 4608 mn eur 4385 mn 2009
positive,pretax profit rose eur 06 mn eur 04 mn corresponding period 2005
positive,pretax profit rose eur 1019 mn eur 1007 corresponding period 2005
positive,pretax profit rose eur 178 mn eur 149 mn 2005
positive,pretax profit totaled eur 3974 mn eur 1647 mn
positive,profit period totaled eur 394 mn eur 339 mn corresponding period 2006
positive,profit period eur 59 mn eur 13 mn
positive,profit period eur 98 mn eur 60 mn 2004
positive,revenue grew 12 percent x20ac 36 billion u 45 billion
positive,revenue july september grew 14 percent euro 467 million year earlier company said thursday
positive,revenue time grew 14 percent 43 million euro
positive,sale latin america increased 42 eur 432mn total 87 mn mobile device sold area representing increase 32 corresponding period 2009
positive,sanoma magazine finland net sale grew eur 1401 mn eur 1318 mn
positive,satama net profit third quarter 2007 rose 275000 euro 395000 270000 euro 388000 period 2006
positive,section regional news demand finnair asian traffic measured passenger kilometer 349 august compare last year
positive,svyturysutenos alus controlled nordic group baltic beverage holding bbh posted 61 percent growth beer sale januaryseptember 10199 million liter
positive,would increase estimated sale 117 million last year
positive,chain posted sale 298 million euro full 2005 rise 195 percent yearonyear
positive,company expects net sale 2008 increase 510 2007
positive,company operating income ebit totalled eur 00 mn eur 03 mn yearonyear
positive,eps outlook increased 56 pct 2007 70 pct 2008
positive,fair value investment property totaled eur 25349 mn eur 24551 mn 2006
positive,finnish government announced wednesday sold 32 percent stake chemical fertilizer group kemira oyj x20ac 6556 million 890us million sending company share price 6 percent
positive,helsinkibased company also owns salomon atomic suunto brand said net profit rose 15 percent three month dec 31 x20ac 47 million 61us million x20ac 408 million year earlier
positive,operating profit grain trading increased eur 20 mn eur 14 mn 2005
positive,stock rose second day wednesday bringing twoday rise gbx12 0 20
positive,stock rose third day tuesday bringing threeday rise gbx10 50 18
positive,transaction would increase earnings per share first quarter eur0 28
positive,total operating revenue grew 276 yearonyear eur61m
positive,vacon cash flow operation grew eur 371 mn eur 219 mn year ago
positive,basware product sale grew strongly financial period 24 percent
positive,1 february 2011 finnish textile clothing company marimekko oyj hel mmo1v said today preliminary operating profit grew eur8 2 2010 eur6 3 2009
positive,affecto expects net sale whole 2010 increase 2009 level reached eur 103 million
positive,cash flow operation rose eur 527 mn eur 156 mn 2007
positive,commission income rose 257 eur 161 mn eur 128 mn 2004
positive,earnings per share januaryjune 2010 eur0 30 increase 20 yearonyear eur0 25
positive,earnings per share eps rose eur 011 eur 003
positive,elisa said mobile subscription grew 7 percent 2007 mainly customer adopting socalled third generation mobile technology
positive,eps quarter came 036 eur 033 eur year ago ahead forecast 033 eur
positive,eps grew 004 eur 002 eur
positive,export grew 165 percent 191 million liter
positive,finnish investment group panostaja oyj said net profit went 86 mln euro 114 mln fiscal 200506 ended october 31 2006 28 mln euro 37 mln period fiscal 200405
positive,finnish metal component supplier componenta oyj said net profit went 35 mln euro 45 mln 2006 22 mln euro 28 mln 2005
positive,finnish silicon wafer technology company okmetic oyj omx helsinki okm1v reported thursday 30 october operating profit eur7 4 januaryseptember 2008 eur6 1 corresponding period 2007
positive,fiskars brand report net sale eur 1458 mn eur 1384 mn
positive,however proportion paid standing order grew 2009
positive,januaryseptember 2007 group net sale continuing operation rose eur 2131 mn eur 1726 mn corresponding period 2006
positive,julyseptember 2008 yit net sale increased eur 9708 mn compared eur 9068 mn corresponding period 2007
positive,reporting period net sale rose 8 yearonyear eur64 3 due business acquisition realized first half 200809 effect eur10 9 review period
positive,reporting period company operating profit grew 432 eur 6 million
positive,last year net sale rose eur 683 million eur 622 million
positive,last year company raised turnover approximately 7 million litas eur 2 mln 61 million litas 2004
positive,marimekko group fullyear net sale estimated increase 10
positive,net sale surged 30 eur 36 million
positive,nevertheless market share rose 4914 percent 4851 percent year earlier
positive,octoberdecember sale 302 mln eur 253 pct increase year year
positive,olvi control 94 percent stake ragutis le coq said annual report published earlier year lithuanian brewery sale reached 1504 million euro last year rise 204 percent 1249 million euro 2004
positive,olvi expects sale market share increase first quarter 2010
positive,operating profit increased eur 140 mn eur 49 mn corresponding period 2005
positive,operating profit asian plant grew markedly
positive,operating profit totaled eur 825mn eur 763mn 2004
positive,operating profit totalled eur 830 mn eur 235 mn yearonyear
positive,production capacity increase 36 000 85 000 tonne per year raw material continue recycled paper board
positive,profit period increased eur 29 mn eur 105 mn
positive,profit per share eur 103 eur 087
positive,return capital employed rose 48 percentage point 196
positive,revenue july september grew 21 percent euro 23 billion finnish company said thursday
positive,revenue grew 1 percent euro742 2 million u 964 million euro735 million
positive,ruukki order book end 2010 30 yearonyear 10 quarteronquarter
positive,sale finland rose 39 international growth 07
positive,sale security system packaging increased slightly
positive,stora enso thirdquarter pretax profit doubled eur 197mn
positive,company market share continued increase
positive,company scheduled traffic measured revenue passenger kilometre rpk grew 2 nearly 3 passenger carried scheduled flight february 2009
positive,disposal autotank also strengthen aspo capital structure commented gustav nyberg ceo aspo
positive,earnings per share quarter came 025 eur 020 eur quarter year earlier
positive,economic occupancy rate sponda property portfolio rose 912 888 2006
positive,group 12month operating profit grew 31 percent 3378 million euro
positive,growth net sale first half 2008 28 compared first half 2007
positive,pretax profit group life insurance business increased eur 36 million eur 27 million
positive,pretax profit group life insurance business increased eur36m eur27m
positive,total delivery volume paper business 2010 1155000 tonne 1132000 tonne 2009
positive,value firm forestry holding increased sek 36 bn
positive,turnover rose eur21m eur17m
neutral,finnish talvivaara mining co hel tlv1v said thursday picked bofa merrill lynch jpmorgan nyse jpm joint bookrunners planned issue convertible note worth eur250m usd332m
neutral,mall part baltic pearl development project city st petersburg baltic pearl cjsc subsidiary shanghai foreign joint investment company developing home 35000 people
neutral,vacon control 5 company via investment fund power fund eur 10 usd 139
neutral,4 complete name shareholder otto henrik bernhard nyberg 5 information amount share transferred corresponds 568 total number share aspo plc
neutral,data processing unit collect data calculates rvr value provides data user via various interface
neutral,german commerzbank ag hamburg branch u jp morgan nyse jpm participated arranger dutch ing am inga coarranger
neutral,increase number share based option right granted management company stock option plan 2006
neutral,30 office worldwide 90 pct net sale generated outside finland
neutral,has80 branch finland annual revenue finland
neutral,nokia messaging 11 enables customer receive email 10 email account mobile phone supporting pop imap email service
neutral,share repurchase 11012008 helsinki stock exchange behalf sampo plc danske bank helsinki branc
neutral,contract value amount eur11m company added
neutral,aldata said still number operational aspect defined microsoft detail product market initiative resulting agreement available later date
neutral,alexandria va may 16 kenneth bower vista calif developed ornamental design handset u patent trademark office announced
neutral,biohit oyj develops manufacture market liquid handling product diagnostic test system use research healthcare industrial laboratory
neutral,mr ashley deputy executive chairman sport direct sold 43pc stake company pound 900m time float
neutral,rental building equipment accounted 88 percent operating income
neutral,ruukki delivery includes steel structure including installation krakeroy bascule bridge steel pile bridge foundation
neutral,stockmann established 1862 finland became first foreign company enter russia retail trade market 1989
neutral,broadbased wig index ended thursday session 01 pct 6500334 pt bluechip wig20 113 368715 pt
neutral,business divested generates consolidated net sale eur 60 million annually currently 640 employee
neutral,company generates net sale 600 mln euro 7755 mln annually employ 6000
neutral,contract cover manufacturing surfacetreatment installation steel structure
neutral,order also includes startup commissioning service
neutral,phone targeted first time user growth market
neutral,tielinja generated net sale 75 mln euro 96 mln 2005
neutral,tikkurila powder coating 50 employee four paint plant generated revenue eur2 4 usd3 3 2010
neutral,rental agreement stockmann committed invest building bridge gogol street build underground tunnel crossing street 2004
neutral,vnh generates annual net sale 5 mln eur employ 21 people
negative,jan 6 ford struggling face slowing truck suv sale surfeit uptodate gottahave car
negative,pharmaceutical group orion corp reported fall thirdquarter earnings hit larger expenditure rd marketing
negative,however growth margin slowed due financial crisis
positive,helsinki afx nokian tyre reported fourth quarter pretax profit 615 mln eur 486 mln back strong sale
positive,kalnapiliotauro grupe kalnapilistauras group owned denmark royal unibrew raised market share 2518 percent 2374 percent beer sale seven month jumped 145 percent 405 million liter
positive,company estimate net sale 2010 increase considerably 2009 operating result clearly positive
positive,uponor made operating profit eur 1510 mn eur 1437 mn made 2007 record year
positive,basware corporation stock exchange release august 31 2010 1625 basware signed large deal international industrial group basware deliver invoice automation solution connectivity service international industrial group
positive,estimate operating profit improve third quarter
positive,ruukki forecast 1520 annual sale growth positive pretax result 2010
positive,sale rose 10 pct 566 mln eur back strong volume favourable currency effect
positive,growth net sale continued favourably middle east africaand asia pacific
positive,appointment kaupthing bank aim coordinate capital market activity within group improve overall service client
neutral,following increase huhtamaki registered share capital eur360 62 number share outstanding 106063320
neutral,helsinki october 22 2008 ssh communication security corp board director information please contact tomi laamanen chairman tel 358 0 400 609 544 distribution nasdaq omx helsinki ltd
neutral,offer 30 million share aimed raise x20ac 500 million u 640 million expected completed oct 9 outokumpu said
positive,theodosopoulos said tellabs could value nokia siemens nortel given leading supply status verizon along highgrowth product
positive,succeeded increasing market share sold apartment comment mr kari kauniskangas head yit international construction service
positive,capman partner able develop business continue focus providing quality restaurant service customer say christopher wynne ceo papa john russia
positive,finnish suominen corporation specialises wet wipe nonwovens flexible packaging report net sale eur 441 mn second quarter 2010 eur 433 mn second quarter 2009
positive,finnish telecom software developer tecnomen oyj said december 5 2006 33 mln 25 mln euro order supply expansion charging messaging system mobile fixed network brasil telecom
positive,adp news dec 11 2008 finnish construction engineering company outotec oyj omx ote1v said today eur 28 million usd 368 order expand phosphate concentrator siilinjarvi norwegian miner
positive,bank see potential getinge share rise
positive,company recorded revenue e658 1 million fiscal year ended december 2007 increase 23 2006
positive,robust growth result inclusion clothing chain lindex group december 2007
positive,six brewery recorded 52 percent growth domestic beer sale last year 27021 million liter 25688 million liter sold 2005
positive,january 11 2010 ephc board director approved increase quarterly dividend 003 005 per share
positive,bilfinger investor cheered agreement pushing share 7 euro 330 euro 5029 afternoon trade
positive,london afx share rautaruukki corp upgraded hold sell abn amro price target raised 2575 eur 145 said dealer
positive,london marketwatch nokia nok said fiveyear service contract run hutchison essar network operation nine location india
positive,progress group qpr representative saudi arabia north africa signed framework agreement long term strategic relationship ise
positive,ragutis controlled finnish brewery olvi achieved 57 percent rise beer sale 226 million liter held 1075 percent market share
positive,addition cramo peab signed exclusive fiveyear rental agreement finland extended existing rental agreement swedish market another five year
positive,outotec oyj press release december 4 2009 1030 outotec establishes new subsidiary kolkata outotec established subsidiary india order better serve indian customer increase business growing indian market
neutral,original contract signed last summer
positive,number collection error fell considerably operation speeded
positive,second quarter 2010 group pretax loss narrowed eur 400000 eur 600000
positive,26 january 2011 finnish metal product company componenta oyj hel cth1v said yesterday net loss narrowed eur500 000 last quarter 2010 eur5 3 period year earlier
positive,8 may 2009 finnish liquid handling product diagnostic test system maker biohit oyj hel biobv said today 8 may 2009 net loss narrowed eur0 1 usd0 14 first quarter 2009 eur0 4 period 2008
positive,finnish metal product company componenta oyj hel cth1v said today net loss narrowed eur 500000 usd 680000 last quarter 2010 eur 53 million period year earlier
positive,finnish steel maker rautaruukki oyj hel rtrks ruukki said today net loss contracted eur 49 million usd 682 first nine month 2010 eur 229 million period year ago
positive,first nine month 2010 talvivaara net loss narrowed eur 83 million eur 219 million period 2009
positive,first nine month 2010 company net loss narrowed eur 415000 eur 74 million corresponding period 2009
positive,first nine month 2010 company net loss narrowed eur415 000 eur7 4 corresponding period 2009
positive,adp news feb 9 2009 finnish computer service company proha oyj hel art1v said today net loss narrowed eur 113000 usd 146000 2008 eur 12 million 2007
positive,new factory working model reorganisation would decrease nokian tyre cost factory eur 30 million usd 387
positive,20 october 2010 finnish metal product company componenta oyj hel cth1v said yesterday net loss narrowed eur7m first nine month 2010 eur23 3 period 2009
positive,finnish fiber plastic product maker suominen corporation said net loss narrowed 16 mln euro 20 mln first nine month 2006 216 mln euro 27 mln period 2005
positive,second quarter 2010 raute net loss narrowed eur 123000 eur 15 million period 2009
positive,adp news nov 13 2008 finnish printed circuit board pcb maker aspocomp group oyj omx acg1v said today net loss narrowed eur 2 million usd 25 first nine month 2008 eur 5
positive,metsaliitto however narrowed net loss second quarter 2007 50 mln euro 69 mln 61 mln euro 837 mln year ago
positive,narrow eur2 8 9mo 09 29 october 2009 finnish software hardware developer elektrobit oyj hel ebg1v eb said today net loss narrowed eur2 8 first nine month 2009 eur35 6 period year ago
positive,diluted loss per share narrowed eur 027 eur 086
positive,unit cost flight operation fell 64 percent
positive,loss third quarter 2007 eur 03 mn smaller loss second quarter 2007
negative,2009 3 february 2010 finlandbased steel maker rautaruukki oyj hel rtrks ruukki said today slipped largerthanexpected pretax loss eur46m fourth quarter 2009 yearearlier profit eur45m
negative,adpnews feb 3 2010 finlandbased steel maker rautaruukki oyj hel rtrks ruukki said today slipped largerthanexpected pretax loss eur 46 million usd 645 fourth quarter 2009
negative,result tax decreased nearly eur 145 mn compared nearly eur 20mn previous accounting period
negative,company slipped operating loss eur 26 million profit eur 13 million
negative,23 april 2010 finnish construction engineering company outotec oyj hel ote1v said today slipped net loss eur7 3 first quarter 2010 net profit eur12 5 corresponding period last year
negative,cramo slipped pretax loss eur 67 million pretax profit eur 589 million
negative,finnish solution provider affecto oyj hel afe1v said today slipped net loss eur 115000 usd 152000 second quarter 2010 profit eur 845000 corresponding period year earlier
negative,2009 comptel slipped net loss eur2 1 profit eur6 6 previous year
negative,q2 2009 profit tax amounted eur 136 mn eur 268 mn q2 2008
negative,adpnews feb 5 2010 finnish real estate investor sponda oyj hel sda1v said today slipped net loss eur 815 million usd 118 2009 profit eur 293 million 2008
negative,adpnews jul 17 2009 finlandbased steel maker rautaruukki oyj ruukki hel rtrks said today slipped net loss eur 184 million usd 2597 first half 2009 net profit eur
